"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
105,0.35,0.2,"TC",20.9622521614741
100,0.41011181020481,0.2,"TC",24.8111154199304
95,0.470223620409621,0.2,"TC",22.2116634889205
90,0.530335430614431,0.2,"TC",17.9567851731436
85,0.590447240819241,0.2,"TC",18.1127926189997
80,0.650559051024052,0.2,"TC",13.6384849350506
75,0.710670861228862,0.2,"TC",15.6343855466212
70,0.770782671433673,0.2,"TC",15.058348207417
105,0.35,0.2,"TC",21.2930411443575
100,0.41011181020481,0.2,"TC",20.0274408003171
95,0.470223620409621,0.2,"TC",27.8384920635686
90,0.530335430614431,0.2,"TC",23.1198667162924
85,0.590447240819241,0.2,"TC",18.1266984285412
80,0.650559051024052,0.2,"TC",19.8495374147592
75,0.710670861228862,0.2,"TC",16.8137037061912
70,0.770782671433673,0.2,"TC",17.0446126679655
105,0.35,0.2,"TC",23.9387834739282
100,0.41011181020481,0.2,"TC",24.6420633422327
95,0.470223620409621,0.2,"TC",23.8343666424686
90,0.530335430614431,0.2,"TC",20.8577869524804
85,0.590447240819241,0.2,"TC",21.3972566588023
80,0.650559051024052,0.2,"TC",14.487972920901
75,0.710670861228862,0.2,"TC",11.4032594710552
70,0.770782671433673,0.2,"TC",18.9707910491091
105,0.35,0.2,"TC",23.2995134402473
100,0.41011181020481,0.2,"TC",19.9650182467904
95,0.470223620409621,0.2,"TC",22.6169572183566
90,0.530335430614431,0.2,"TC",20.639310302433
85,0.590447240819241,0.2,"TC",22.3300984834141
80,0.650559051024052,0.2,"TC",18.4527212304568
75,0.710670861228862,0.2,"TC",14.6338459303695
70,0.770782671433673,0.2,"TC",17.3625952233168
105,0.35,0.2,"TC",20.4846109679879
100,0.41011181020481,0.2,"TC",22.0640750955238
95,0.470223620409621,0.2,"TC",20.9386941870196
90,0.530335430614431,0.2,"TC",17.9702523588854
85,0.590447240819241,0.2,"TC",21.0014913013908
80,0.650559051024052,0.2,"TC",18.6317857517616
75,0.710670861228862,0.2,"TC",19.1728279753414
70,0.770782671433673,0.2,"TC",18.390171379566
105,0.35,0.2,"TC",23.9113986585322
100,0.41011181020481,0.2,"TC",17.8554825807441
95,0.470223620409621,0.2,"TC",22.0803057144481
90,0.530335430614431,0.2,"TC",16.4501115588768
85,0.590447240819241,0.2,"TC",17.0367055738872
80,0.650559051024052,0.2,"TC",18.6145290755057
75,0.710670861228862,0.2,"TC",18.6189204923863
70,0.770782671433673,0.2,"TC",16.2241243362612
105,0.35,0.2,"TC",19.3941470085999
100,0.41011181020481,0.2,"TC",19.2487837016949
95,0.470223620409621,0.2,"TC",25.4233955179752
90,0.530335430614431,0.2,"TC",21.2546611073594
85,0.590447240819241,0.2,"TC",21.1473898735876
80,0.650559051024052,0.2,"TC",13.8311343998202
75,0.710670861228862,0.2,"TC",14.5868037828731
70,0.770782671433673,0.2,"TC",21.1261802612221
105,0.35,0.2,"TC",21.4788853834901
100,0.41011181020481,0.2,"TC",22.2055548691975
95,0.470223620409621,0.2,"TC",19.7785594559837
90,0.530335430614431,0.2,"TC",16.4919365157779
85,0.590447240819241,0.2,"TC",21.3399294226219
80,0.650559051024052,0.2,"TC",14.4457669114366
