"Prev.Size","Prev.Length","Tile.Size","Top.Row","Browse.Time"
0.4,60,0.2,"TC",16.4472460850782
0.4,60,0.2,"TC",18.4370857246486
0.4,60,0.2,"TC",21.54110270164
0.4,60,0.2,"TC",20.9753595260008
0.4,60,0.2,"TC",19.9613817666598
0.4,60,0.2,"TC",22.3893713104949
0.4,60,0.2,"TC",21.724449942635
0.4,60,0.2,"TC",27.4072699452288
0.4,60,0.2,"TC",20.0647817853708
0.4,60,0.2,"TC",21.0665503368771
0.4,60,0.2,"TC",18.7410997281879
0.4,60,0.2,"TC",16.5143778444419
0.4,60,0.2,"TC",19.8040620991766
0.4,60,0.2,"TC",20.2989133180883
0.4,60,0.2,"TC",19.7291390757316
0.4,60,0.2,"TC",13.3046505020677
0.4,60,0.2,"TC",20.3179181002823
0.4,60,0.2,"TC",19.1485521410289
0.4,60,0.2,"TC",22.0056925032722
0.4,60,0.2,"TC",19.6184548831617
0.4,60,0.2,"TC",21.0956864884477
0.4,60,0.2,"TC",16.1953533004998
0.4,60,0.2,"TC",14.8667037669366
0.4,60,0.2,"TC",19.2713125636224
0.4,60,0.2,"TC",18.4907530062933
0.4,60,0.2,"TC",21.7669930026488
0.4,60,0.2,"TC",24.001952308923
0.4,60,0.2,"TC",22.6632232793151
0.4,60,0.2,"TC",23.4658717630285
0.4,60,0.2,"TC",20.7741634819322
0.4,60,0.2,"TC",17.5100765377486
0.4,60,0.2,"TC",17.4328451602706
0.4,60,0.2,"TC",22.4670044532832
0.4,60,0.2,"TC",16.5042208803643
0.4,60,0.2,"TC",20.2937775349655
0.4,60,0.2,"TC",17.8908203615845
0.4,60,0.2,"TC",20.6824347682817
0.4,60,0.2,"TC",15.0992797892141
0.4,60,0.2,"TC",19.1976883192117
0.4,60,0.2,"TC",18.2329817935217
0.4,60,0.2,"TC",17.0581398245906
0.4,60,0.2,"TC",18.9513809465626
0.4,60,0.2,"TC",18.5956475910154
0.4,60,0.2,"TC",23.1042324147702
0.4,60,0.2,"TC",23.1987912945574
0.4,60,0.2,"TC",20.060646352481
0.4,60,0.2,"TC",19.1816181763948
0.4,60,0.2,"TC",19.8583196956578
0.4,60,0.2,"TC",22.6452297104126
0.4,60,0.2,"TC",20.1747270684551
